,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,WILLOW,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,87,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
1,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,23,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,audio_features,0UsmyJDsst2xhX1ZiFF3JW,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,74302,3
2,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,87,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4
3,Iron Maiden,Wasted Years - 2015 Remaster,2V0T2LS0pf2r3EFpOEkZFO,56,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,audio_features,2V0T2LS0pf2r3EFpOEkZFO,spotify:track:2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/tracks/2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/audio-analysis/2V0T2LS0pf2r3EFpOEkZFO,309640,4
4,Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,81,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293,4
5,Peach Pit,2015,42oBtzPU4fA5Vtfw2Xilgf,49,0.483,0.535,2,-6.95,1,0.0285,0.123,0.000773,0.243,0.327,75.642,audio_features,42oBtzPU4fA5Vtfw2Xilgf,spotify:track:42oBtzPU4fA5Vtfw2Xilgf,https://api.spotify.com/v1/tracks/42oBtzPU4fA5Vtfw2Xilgf,https://api.spotify.com/v1/audio-analysis/42oBtzPU4fA5Vtfw2Xilgf,181603,4
6,Beach House,Space Song,7H0ya83CMmgFcOhw0UB6ow,79,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,audio_features,7H0ya83CMmgFcOhw0UB6ow,spotify:track:7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/tracks/7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/audio-analysis/7H0ya83CMmgFcOhw0UB6ow,320467,4
7,Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,26,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,audio_features,5rJw9VsPNdfnV9Ar97xZG2,spotify:track:5rJw9VsPNdfnV9Ar97xZG2,https://api.spotify.com/v1/tracks/5rJw9VsPNdfnV9Ar97xZG2,https://api.spotify.com/v1/audio-analysis/5rJw9VsPNdfnV9Ar97xZG2,182288,4
8,The Neighbourhood,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,86,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,audio_features,5E30LdtzQTGqRvNd7l6kG5,spotify:track:5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173,4
9,Tori Amos,Silent All These Years - 2015 Remaster,5kRDK0lC01ceWWuXgkjYLi,42,0.48,0.228,4,-10.833,1,0.0354,0.936,1.11e-05,0.11,0.295,128.035,audio_features,5kRDK0lC01ceWWuXgkjYLi,spotify:track:5kRDK0lC01ceWWuXgkjYLi,https://api.spotify.com/v1/tracks/5kRDK0lC01ceWWuXgkjYLi,https://api.spotify.com/v1/audio-analysis/5kRDK0lC01ceWWuXgkjYLi,251240,4
10,Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,77,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208212,3
11,JPEGMAFIA,2015 was a great year,4tdI8hLyvQJ562nGhf0f8y,27,0.279,0.962,4,-5.079,0,0.818,0.102,0.0,0.121,0.232,170.273,audio_features,4tdI8hLyvQJ562nGhf0f8y,spotify:track:4tdI8hLyvQJ562nGhf0f8y,https://api.spotify.com/v1/tracks/4tdI8hLyvQJ562nGhf0f8y,https://api.spotify.com/v1/audio-analysis/4tdI8hLyvQJ562nGhf0f8y,170792,4
12,Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,84,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4
13,Tori Amos,Pretty Good Year - 2015 Remaster,70euagGKfDWkSQCoZtHFdh,22,0.388,0.195,6,-14.857,1,0.0339,0.933,3.97e-06,0.0989,0.321,133.152,audio_features,70euagGKfDWkSQCoZtHFdh,spotify:track:70euagGKfDWkSQCoZtHFdh,https://api.spotify.com/v1/tracks/70euagGKfDWkSQCoZtHFdh,https://api.spotify.com/v1/audio-analysis/70euagGKfDWkSQCoZtHFdh,205640,4
14,BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,82,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,audio_features,2GiJYvgVaD2HtM8GqD9EgQ,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/tracks/2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/audio-analysis/2GiJYvgVaD2HtM8GqD9EgQ,218107,4
15,Phil Collins,Can't Turn Back The Years - 2015 Remastered,3R3hLQX2u6lZIORZQsJmtD,47,0.648,0.194,5,-13.318,0,0.037,0.476,0.0102,0.09,0.304,173.231,audio_features,3R3hLQX2u6lZIORZQsJmtD,spotify:track:3R3hLQX2u6lZIORZQsJmtD,https://api.spotify.com/v1/tracks/3R3hLQX2u6lZIORZQsJmtD,https://api.spotify.com/v1/audio-analysis/3R3hLQX2u6lZIORZQsJmtD,280507,4
16,Vundabar,Alien Blues,11iIikXxC6NP0Ma8vMD27x,81,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,audio_features,11iIikXxC6NP0Ma8vMD27x,spotify:track:11iIikXxC6NP0Ma8vMD27x,https://api.spotify.com/v1/tracks/11iIikXxC6NP0Ma8vMD27x,https://api.spotify.com/v1/audio-analysis/11iIikXxC6NP0Ma8vMD27x,155933,4
17,Beatsteaks,Gentleman of the Year - 2015 Remaster,5ya8rum1Yym1ObenIygXAC,27,0.625,0.954,11,-5.596,0,0.0386,0.000308,0.00465,0.577,0.786,120.13,audio_features,5ya8rum1Yym1ObenIygXAC,spotify:track:5ya8rum1Yym1ObenIygXAC,https://api.spotify.com/v1/tracks/5ya8rum1Yym1ObenIygXAC,https://api.spotify.com/v1/audio-analysis/5ya8rum1Yym1ObenIygXAC,249333,4
18,Lil Peep,Star Shopping,30bqVoKjX479ab90a8Pafp,83,0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,audio_features,30bqVoKjX479ab90a8Pafp,spotify:track:30bqVoKjX479ab90a8Pafp,https://api.spotify.com/v1/tracks/30bqVoKjX479ab90a8Pafp,https://api.spotify.com/v1/audio-analysis/30bqVoKjX479ab90a8Pafp,142000,4
19,Daryl Hall & John Oates,It's Uncanny - 2015 Japanese Remaster,5eJz8lyMlGVfS03fnZIdPp,37,0.743,0.848,2,-6.28,1,0.0378,0.342,0.000118,0.194,0.964,107.191,audio_features,5eJz8lyMlGVfS03fnZIdPp,spotify:track:5eJz8lyMlGVfS03fnZIdPp,https://api.spotify.com/v1/tracks/5eJz8lyMlGVfS03fnZIdPp,https://api.spotify.com/v1/audio-analysis/5eJz8lyMlGVfS03fnZIdPp,224453,4
20,Kendrick Lamar,Alright,3iVcZ5G6tvkXZkZKlMpIUs,79,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,audio_features,3iVcZ5G6tvkXZkZKlMpIUs,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/tracks/3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/audio-analysis/3iVcZ5G6tvkXZkZKlMpIUs,219333,4
21,jonoftf,2016,7J4ZeHcNlis63fbKUioaer,35,0.448,0.545,10,-11.839,1,0.299,0.603,1.23e-05,0.113,0.423,141.887,audio_features,7J4ZeHcNlis63fbKUioaer,spotify:track:7J4ZeHcNlis63fbKUioaer,https://api.spotify.com/v1/tracks/7J4ZeHcNlis63fbKUioaer,https://api.spotify.com/v1/audio-analysis/7J4ZeHcNlis63fbKUioaer,116559,4
22,Travis Scott,90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP,79,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,audio_features,51EC3I1nQXpec4gDk0mQyP,spotify:track:51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/tracks/51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/audio-analysis/51EC3I1nQXpec4gDk0mQyP,339067,4
23,David Bowie,Velvet Goldmine - 2015 Remaster,6GCNEAIZVH4lKQD30lfQ6f,38,0.621,0.632,5,-11.583,1,0.0283,0.636,0.0,0.156,0.893,94.146,audio_features,6GCNEAIZVH4lKQD30lfQ6f,spotify:track:6GCNEAIZVH4lKQD30lfQ6f,https://api.spotify.com/v1/tracks/6GCNEAIZVH4lKQD30lfQ6f,https://api.spotify.com/v1/audio-analysis/6GCNEAIZVH4lKQD30lfQ6f,190315,4
24,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC,79,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,audio_features,3pXF1nA74528Edde4of9CC,spotify:track:3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,198293,4
25,Go Stereo,Best Of 2015 Pop Mashup,25pC33bTP2xgRhPICwfYf9,41,0.325,0.894,0,-3.356,0,0.0671,0.0157,0.0,0.129,0.389,144.941,audio_features,25pC33bTP2xgRhPICwfYf9,spotify:track:25pC33bTP2xgRhPICwfYf9,https://api.spotify.com/v1/tracks/25pC33bTP2xgRhPICwfYf9,https://api.spotify.com/v1/audio-analysis/25pC33bTP2xgRhPICwfYf9,273133,4
26,Steve Lacy,C U Girl,6FBzhcfgGacfXF3AmtfEaX,78,0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0,audio_features,6FBzhcfgGacfXF3AmtfEaX,spotify:track:6FBzhcfgGacfXF3AmtfEaX,https://api.spotify.com/v1/tracks/6FBzhcfgGacfXF3AmtfEaX,https://api.spotify.com/v1/audio-analysis/6FBzhcfgGacfXF3AmtfEaX,129698,4
27,LADYBABY,Nippon Manju,06NEuecnoNSQxDC3lfHpyy,41,0.4,0.993,0,-1.688,1,0.128,0.000732,0.0372,0.103,0.338,185.93,audio_features,06NEuecnoNSQxDC3lfHpyy,spotify:track:06NEuecnoNSQxDC3lfHpyy,https://api.spotify.com/v1/tracks/06NEuecnoNSQxDC3lfHpyy,https://api.spotify.com/v1/audio-analysis/06NEuecnoNSQxDC3lfHpyy,264920,4
28,$uicideboy$,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk,78,0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,audio_features,0kEZlJh4mK1QRfb3CT5LPk,spotify:track:0kEZlJh4mK1QRfb3CT5LPk,https://api.spotify.com/v1/tracks/0kEZlJh4mK1QRfb3CT5LPk,https://api.spotify.com/v1/audio-analysis/0kEZlJh4mK1QRfb3CT5LPk,145078,4
29,Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,audio_features,1sUxW2zAmXA7lXHC8Dxu4s,spotify:track:1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/tracks/1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/audio-analysis/1sUxW2zAmXA7lXHC8Dxu4s,69840,4
30,Tame Impala,Eventually,5M4yti0QxgqJieUYaEXcpw,79,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935,audio_features,5M4yti0QxgqJieUYaEXcpw,spotify:track:5M4yti0QxgqJieUYaEXcpw,https://api.spotify.com/v1/tracks/5M4yti0QxgqJieUYaEXcpw,https://api.spotify.com/v1/audio-analysis/5M4yti0QxgqJieUYaEXcpw,318591,4
31,David Bowie,Space Oddity - 2015 Remaster,5sUrZEf4qEtjepdgcetith,37,0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-05,0.139,0.466,134.48,audio_features,5sUrZEf4qEtjepdgcetith,spotify:track:5sUrZEf4qEtjepdgcetith,https://api.spotify.com/v1/tracks/5sUrZEf4qEtjepdgcetith,https://api.spotify.com/v1/audio-analysis/5sUrZEf4qEtjepdgcetith,318027,4
32,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,77,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,audio_features,6GnhWMhgJb7uyiiPEiEkDA,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/tracks/6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/audio-analysis/6GnhWMhgJb7uyiiPEiEkDA,208080,4
33,Otmar Eros,"Year 2016:, Pt. 2",3DfKQFbKLYCnzluGint477,16,0.139,0.0829,0,-20.026,1,0.0822,0.601,0.975,0.0869,0.0363,61.692,audio_features,3DfKQFbKLYCnzluGint477,spotify:track:3DfKQFbKLYCnzluGint477,https://api.spotify.com/v1/tracks/3DfKQFbKLYCnzluGint477,https://api.spotify.com/v1/audio-analysis/3DfKQFbKLYCnzluGint477,144149,4
34,Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,84,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4
35,Roy Orbison,There Won't Be Many Coming Home - Remastered 2015,4cuozf7bRILRTJyrNo8hTO,37,0.309,0.325,0,-10.77,1,0.0288,0.916,0.0,0.19,0.449,152.195,audio_features,4cuozf7bRILRTJyrNo8hTO,spotify:track:4cuozf7bRILRTJyrNo8hTO,https://api.spotify.com/v1/tracks/4cuozf7bRILRTJyrNo8hTO,https://api.spotify.com/v1/audio-analysis/4cuozf7bRILRTJyrNo8hTO,166120,4
36,Morgan Wallen,Spin You Around,1yj1ZztSGITJ5Nf4mfH92c,74,0.517,0.877,4,-3.621,1,0.0297,0.00147,0.0,0.208,0.616,150.004,audio_features,1yj1ZztSGITJ5Nf4mfH92c,spotify:track:1yj1ZztSGITJ5Nf4mfH92c,https://api.spotify.com/v1/tracks/1yj1ZztSGITJ5Nf4mfH92c,https://api.spotify.com/v1/audio-analysis/1yj1ZztSGITJ5Nf4mfH92c,212850,4
37,Otmar Eros,"Year 2016:, Pt. 1",48Mk9nvXiHZ9eSDqkX8sSZ,17,0.474,0.0185,10,-31.5,1,0.0524,0.989,0.925,0.0601,0.0227,75.068,audio_features,48Mk9nvXiHZ9eSDqkX8sSZ,spotify:track:48Mk9nvXiHZ9eSDqkX8sSZ,https://api.spotify.com/v1/tracks/48Mk9nvXiHZ9eSDqkX8sSZ,https://api.spotify.com/v1/audio-analysis/48Mk9nvXiHZ9eSDqkX8sSZ,59443,3
38,Mark Ronson,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,83,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
