,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Frank Ocean,Lost,3GZD6HmiNUhxXYf8Gch723,85,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4
1,David Bowie,Five Years - 2012 Remaster,1JIzFhI9Lt5FyslawmHCBi,59,0.46,0.326,7,-10.699,1,0.0417,0.142,1.01e-05,0.0449,0.321,152.531,283753,3
2,Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,79,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
3,Electro Dark Project,Year 2012,6AXz0oyVU4oXh9Tb98TXMd,0,0.501,0.687,0,-4.657,1,0.0494,0.00419,3.15e-05,0.123,0.542,164.092,214164,4
4,Chief Keef,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,81,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,4
5,Jay Sean,2012 (It Ain't The End),1ERCOXHQcoLSTlgmNTlcrR,55,0.717,0.792,0,-2.703,1,0.0393,0.199,0.0,0.423,0.513,126.975,222200,4
6,Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,80,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
7,Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,69840,4
8,Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,86,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
9,Anthem Lights,Best of 2012: Payphone / Call Me Maybe / Wide Awake / Starships / We Are Young,1dKDRs99KkNbtC9AHM7TLm,54,0.375,0.418,11,-5.999,1,0.036,0.688,0.0,0.371,0.287,136.319,209134,5
10,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,82,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
11,Sanek,Year 2012,1FmAiXfpWJtdFvNSlwcCBm,0,0.638,0.887,10,-10.24,0,0.0461,0.204,0.769,0.367,0.399,127.001,387600,4
12,Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,85,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
13,LUCKI,2012 Summer,3ZdRd53sNTsVY3sLFoTriD,47,0.842,0.229,1,-10.446,1,0.566,0.143,0.000421,0.347,0.569,157.13,97896,4
14,Mac DeMarco,My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,80,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,190846,4
15,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,23,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
16,The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,75,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
17,Anthem Lights,Best of 2011: Just the Way You Are / For the First Time / Someone Like You / Superbass / Grenade / Without You,65bcYKY0QzlXILxVuWspdT,45,0.418,0.343,4,-7.492,1,0.0339,0.741,0.0,0.113,0.327,121.805,183814,4
18,One Direction,What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,84,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,4
19,Black Memorial Committee,Year 2052,5w3WeWgFibsEyuYJ03II5T,19,0.157,0.136,0,-22.613,1,0.0388,0.922,0.895,0.114,0.0329,63.867,114419,4
20,Florida Georgia Line,Cruise,0i5el041vd6nxrGEU8QRxy,74,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4
21,Small Faces,Itchycoo Park - 2012 Remaster,3ogbNolvuLnFZRbfykTfIs,38,0.645,0.554,9,-9.812,1,0.0778,0.596,3.6e-06,0.325,0.533,127.235,164241,4
22,Pitbull,Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,82,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
23,Party Favor,2012,434qhYDxNYCvwimHtlSNvF,39,0.724,0.806,1,-3.601,1,0.192,0.271,0.817,0.16,0.785,159.015,160502,4
24,Imagine Dragons,Demons,3LlAyCYU26dvFZBDUIMb7a,74,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,4
25,Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,26,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,182288,4
26,fun.,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,74,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
27,Wildstylez,Year Of Summer - Radio Edit,5U7NscpqQub6inkiFZApNG,47,0.578,0.888,9,-5.573,0,0.0506,0.217,0.000583,0.294,0.378,149.883,174400,4
28,Kendrick Lamar,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,77,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4
29,Jonas Brothers,Year 3000,7BbyWKteSctTKe696qf7fw,51,0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,201813,4
