artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,78,2012,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
Carly Rae Jepsen,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,72,2012,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk pop']",Clarity,60wwxj6Dd9NJlirf84wr2c,75,2012,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
fun.,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,74,2012,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,74,2012,0.739,0.419,3,-8.241,0,0.0854,0.219,0.0,0.196,0.58,60.493,304760,4
Tame Impala,"['australian psych', 'neo-psychedelic']",Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,76,2012,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960,4
alt-J,"['indie rock', 'modern rock']",Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,72,2012,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,227080,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Lost,3GZD6HmiNUhxXYf8Gch723,85,2012,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,70,2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
Pierce The Veil,[],King For A Day,1IT0WQk5J8NsaeII8ktdlZ,79,2012,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,236293,4
Neon Trees,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,80,2012,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Money Trees,2HbKqm4o0w5wEeEFXm2sD4,80,2012,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,78,2012,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4
Imagine Dragons,"['modern rock', 'rock']",Radioactive,4G8gkOterJn0Ywt6uhqbhp,73,2012,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,74,2012,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,173889,4
