artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Tove Lo,"['dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'uk pop']",Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,74,2014,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,audio_features,14OxJlLdcHNpgsm4DRwDOB,spotify:track:14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/tracks/14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/audio-analysis/14OxJlLdcHNpgsm4DRwDOB,209160,4
Mr.Kitty,['weirdcore'],After Dark,2LKOHdMsL0K9KwcPRlJK2v,85,2014,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,audio_features,2LKOHdMsL0K9KwcPRlJK2v,spotify:track:2LKOHdMsL0K9KwcPRlJK2v,https://api.spotify.com/v1/tracks/2LKOHdMsL0K9KwcPRlJK2v,https://api.spotify.com/v1/audio-analysis/2LKOHdMsL0K9KwcPRlJK2v,259147,4
AURORA,"['art pop', 'norwegian pop']",Runaway,0TCmhnbMpw5zwPsTvlXTJi,75,2014,0.521,0.277,11,-10.34,1,0.0356,0.634,7.07e-05,0.103,0.13,115.01,audio_features,0TCmhnbMpw5zwPsTvlXTJi,spotify:track:0TCmhnbMpw5zwPsTvlXTJi,https://api.spotify.com/v1/tracks/0TCmhnbMpw5zwPsTvlXTJi,https://api.spotify.com/v1/audio-analysis/0TCmhnbMpw5zwPsTvlXTJi,248827,4
Hozier,"['irish singer-songwriter', 'pop']",Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,77,2014,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,audio_features,1CS7Sd1u5tWkstBhpssyjP,spotify:track:1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/tracks/1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/audio-analysis/1CS7Sd1u5tWkstBhpssyjP,241693,4
Michael Jackson,"['pop', 'r&b', 'soul']",Chicago,5BKKy9fIJL5uM9fz1SnqyP,80,2014,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086,audio_features,5BKKy9fIJL5uM9fz1SnqyP,spotify:track:5BKKy9fIJL5uM9fz1SnqyP,https://api.spotify.com/v1/tracks/5BKKy9fIJL5uM9fz1SnqyP,https://api.spotify.com/v1/audio-analysis/5BKKy9fIJL5uM9fz1SnqyP,245507,4
Taylor Swift,['pop'],Style,4lIxdJw6W3Fg4vUIYCB0S5,75,2014,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,audio_features,4lIxdJw6W3Fg4vUIYCB0S5,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,https://api.spotify.com/v1/tracks/4lIxdJw6W3Fg4vUIYCB0S5,https://api.spotify.com/v1/audio-analysis/4lIxdJw6W3Fg4vUIYCB0S5,231000,4
MAGIC!,['reggae fusion'],Rude,6RtPijgfPKROxEzTHNRiDp,81,2014,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,audio_features,6RtPijgfPKROxEzTHNRiDp,spotify:track:6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/tracks/6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,224840,4
Mitski,"['brooklyn indie', 'indie pop', 'pop']",First Love / Late Spring,3sslYZcFKtUvIEWN9lADgr,79,2014,0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,audio_features,3sslYZcFKtUvIEWN9lADgr,spotify:track:3sslYZcFKtUvIEWN9lADgr,https://api.spotify.com/v1/tracks/3sslYZcFKtUvIEWN9lADgr,https://api.spotify.com/v1/audio-analysis/3sslYZcFKtUvIEWN9lADgr,278640,4
ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Collard Greens,0zO8ctW0UiuOefR87OeJOZ,78,2014,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954,audio_features,0zO8ctW0UiuOefR87OeJOZ,spotify:track:0zO8ctW0UiuOefR87OeJOZ,https://api.spotify.com/v1/tracks/0zO8ctW0UiuOefR87OeJOZ,https://api.spotify.com/v1/audio-analysis/0zO8ctW0UiuOefR87OeJOZ,299960,4
The Walters,['chicago indie'],I Love You So,4SqWKzw0CbA05TGszDgMlc,88,2014,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240,4
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",Night Changes,5O2P9iiztwhomNh8xkR9lJ,87,2014,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4
Milky Chance,['german pop'],Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,74,2014,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,audio_features,6vECYJHxYmm3Ydt3fF01pE,spotify:track:6vECYJHxYmm3Ydt3fF01pE,https://api.spotify.com/v1/tracks/6vECYJHxYmm3Ydt3fF01pE,https://api.spotify.com/v1/audio-analysis/6vECYJHxYmm3Ydt3fF01pE,313684,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,81,2014,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,audio_features,7H7NyZ3G075GqPx2evsfeb,spotify:track:7H7NyZ3G075GqPx2evsfeb,https://api.spotify.com/v1/tracks/7H7NyZ3G075GqPx2evsfeb,https://api.spotify.com/v1/audio-analysis/7H7NyZ3G075GqPx2evsfeb,231724,4
Taylor Swift,['pop'],Blank Space,1p80LdxRV74UKvL8gnD7ky,76,2014,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,audio_features,1p80LdxRV74UKvL8gnD7ky,spotify:track:1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,231827,4
