artist_name,artist_genre,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Nicky Youre,[],Sunroof,4h4QlmocP3IuwYEj2j14p8,91,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,audio_features,4h4QlmocP3IuwYEj2j14p8,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4
Dj Biffen,[],Merry Christmas and Happy New Year 2021 - Radio Edit,7h7yPyss4MIBVPXVeF83vg,19,0.887,0.633,8,-10.453,1,0.066,0.0629,0.922,0.0637,0.849,130.023,audio_features,7h7yPyss4MIBVPXVeF83vg,spotify:track:7h7yPyss4MIBVPXVeF83vg,https://api.spotify.com/v1/tracks/7h7yPyss4MIBVPXVeF83vg,https://api.spotify.com/v1/audio-analysis/7h7yPyss4MIBVPXVeF83vg,176363,4
Morgan Wallen,['contemporary country'],Wasted On You,3cBsEDNhFI9E82vPj3kvi3,82,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3
Elvis Costello & The Attractions,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock', 'roots rock']",Pump It Up - 2021 Remaster,3oyc1mIdCBGaU55wX7otqM,61,0.645,0.809,11,-6.12,1,0.0385,0.00921,0.00108,0.106,0.966,138.978,audio_features,3oyc1mIdCBGaU55wX7otqM,spotify:track:3oyc1mIdCBGaU55wX7otqM,https://api.spotify.com/v1/tracks/3oyc1mIdCBGaU55wX7otqM,https://api.spotify.com/v1/audio-analysis/3oyc1mIdCBGaU55wX7otqM,196680,4
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,84,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,audio_features,2BcMwX1MPV6ZHP4tUT9uq6,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4
Jay Sean,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",2012 (It Ain't The End),1ERCOXHQcoLSTlgmNTlcrR,55,0.717,0.792,0,-2.703,1,0.0393,0.199,0.0,0.423,0.513,126.975,audio_features,1ERCOXHQcoLSTlgmNTlcrR,spotify:track:1ERCOXHQcoLSTlgmNTlcrR,https://api.spotify.com/v1/tracks/1ERCOXHQcoLSTlgmNTlcrR,https://api.spotify.com/v1/audio-analysis/1ERCOXHQcoLSTlgmNTlcrR,222200,4
Stephen Sanchez,['gen z singer-songwriter'],Until I Found You,0T5iIrXA4p5GsubkhuBIKV,91,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3
Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Year 3000,7BbyWKteSctTKe696qf7fw,50,0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,audio_features,7BbyWKteSctTKe696qf7fw,spotify:track:7BbyWKteSctTKe696qf7fw,https://api.spotify.com/v1/tracks/7BbyWKteSctTKe696qf7fw,https://api.spotify.com/v1/audio-analysis/7BbyWKteSctTKe696qf7fw,201813,4
Doja Cat,"['dance pop', 'pop']",Woman,6Uj1ctrBOjOas8xZXGqKk4,90,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4
Amaranta,"['huayno peruano', 'tunantada']",Medley Picaflor de Los Andes - Live Streaming New Year 2021 Remastered,5PraiQQAIkl0xw6pSFVX5h,26,0.459,0.693,0,-10.44,1,0.254,0.238,0.0,0.931,0.53,136.397,audio_features,5PraiQQAIkl0xw6pSFVX5h,spotify:track:5PraiQQAIkl0xw6pSFVX5h,https://api.spotify.com/v1/tracks/5PraiQQAIkl0xw6pSFVX5h,https://api.spotify.com/v1/audio-analysis/5PraiQQAIkl0xw6pSFVX5h,1035421,4
Olivia Rodrigo,['pop'],good 4 u,4ZtFanR9U6ndgddUvNcjcG,89,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4
Elvis Costello & The Attractions,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock', 'roots rock']","Radio, Radio - 2021 Remaster",0qvo5kciIqZJn1t8jdfqDn,50,0.596,0.872,4,-4.925,1,0.0796,0.135,3.23e-06,0.278,0.899,146.734,audio_features,0qvo5kciIqZJn1t8jdfqDn,spotify:track:0qvo5kciIqZJn1t8jdfqDn,https://api.spotify.com/v1/tracks/0qvo5kciIqZJn1t8jdfqDn,https://api.spotify.com/v1/audio-analysis/0qvo5kciIqZJn1t8jdfqDn,186213,4
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,84,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,audio_features,65OVbaJR5O1RmwOQx0875b,spotify:track:65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b,192956,4
Hop hip show,[],YEAR 2021,3sNhMmddBLSV8bUaTGLfkg,0,0.69,0.735,2,-7.542,1,0.363,0.131,0.0,0.357,0.319,120.013,audio_features,3sNhMmddBLSV8bUaTGLfkg,spotify:track:3sNhMmddBLSV8bUaTGLfkg,https://api.spotify.com/v1/tracks/3sNhMmddBLSV8bUaTGLfkg,https://api.spotify.com/v1/audio-analysis/3sNhMmddBLSV8bUaTGLfkg,204292,4
Olivia Rodrigo,['pop'],traitor,5CZ40GBx1sQ9agT82CLQCT,89,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4
Lauv,"['dance pop', 'electropop', 'pop']",2021,5DlXq40tjFwd3SFp55AfKp,49,0.849,0.489,0,-7.433,1,0.0504,0.685,2.21e-05,0.108,0.344,113.972,audio_features,5DlXq40tjFwd3SFp55AfKp,spotify:track:5DlXq40tjFwd3SFp55AfKp,https://api.spotify.com/v1/tracks/5DlXq40tjFwd3SFp55AfKp,https://api.spotify.com/v1/audio-analysis/5DlXq40tjFwd3SFp55AfKp,195952,4
Billie Eilish,"['art pop', 'electropop', 'pop']",Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,88,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,audio_features,4RVwu0g32PAqgUiJoXsdF8,spotify:track:4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8,298899,3
Amaranta,"['huayno peruano', 'tunantada']",Mix de Huaylas - Live Streaming audio and video New Year 2021 remasterized,5Sr84YP8kcuQrT8RRtaNlO,25,0.532,0.876,5,-10.247,0,0.257,0.232,0.0,0.384,0.654,100.349,audio_features,5Sr84YP8kcuQrT8RRtaNlO,spotify:track:5Sr84YP8kcuQrT8RRtaNlO,https://api.spotify.com/v1/tracks/5Sr84YP8kcuQrT8RRtaNlO,https://api.spotify.com/v1/audio-analysis/5Sr84YP8kcuQrT8RRtaNlO,457619,5
Olivia Rodrigo,['pop'],deja vu,6HU7h9RYOaPRFeh0R3UeAr,88,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,audio_features,6HU7h9RYOaPRFeh0R3UeAr,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,215507,4
